	PN1	PN3	PN2	pcrblank	negcontrol1	500M3	500M2	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	2KM3	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	TMI3	1KM1	2KM1
340RF1	0.995866281401	0.989341189073	0.980499971657	0.997659358664	0.965576592083	0.994916748794	0.989457444073	0.998825172345	0.989456501378	1.0	0.0	0.981662978185	0.980540111199	0.953398058252	0.989567604667	0.995873225487	0.986149065998	0.995189738108	0.995641344956	0.996719683404	0.986904761905	0.975769482646	0.993741882158	0.984397572956	0.999053973312	0.997846802778	0.996656707924	0.986356401122	0.904103852596	0.989584724262	0.989417211729	0.996994634288	0.802816901408	0.995004009128	0.99121284844	0.994850590764	0.963753236318	0.990793585449	0.99710995064	0.993448987019	0.983263598326	0.995992288191
4KM1	0.99684700968	0.994657123415	0.992592592593	0.98785959356	0.895499618612	0.901656027385	0.805278244539	0.975411872738	0.988012491186	1.0	0.981662978185	0.0	0.669423728814	0.671712674384	0.873676740198	0.95791587111	0.922001927578	0.980205541146	0.71251728452	0.998447354218	0.994935863547	0.994321085808	0.96970482959	0.811467444121	0.97401874811	0.99844111956	0.997595881641	0.997145343777	0.974982431483	0.995676653931	0.992400370714	0.985720262167	0.971289412971	0.969370897888	0.99367862969	0.984617021277	0.974741506647	0.982251703119	0.99531411605	0.99504950495	0.878509443594	0.922770187064
2KM2	0.981864953036	0.966211012707	0.992129227108	0.993305537612	0.891246311648	0.871014431059	0.869224353628	0.983311802452	0.955604723311	1.0	0.980540111199	0.669423728814	0.0	0.792827165204	0.915770418486	0.970043283469	0.916443007276	0.983514145926	0.851582649472	0.977349299185	0.947900137522	0.941381788317	0.971063829787	0.631219687444	0.981028528173	0.990449880758	0.985035482876	0.946074906857	0.939474855363	0.99625513119	0.973708169565	0.965435361649	0.916868721857	0.976862041005	0.949579831933	0.974737413036	0.903198598586	0.960140842627	0.985777975306	0.995508102692	0.908126480585	0.961703645573
4KM2	0.997126879072	0.995099344804	0.992155544349	0.994010596637	0.876567020251	0.943135745445	0.858466933868	0.987371726822	0.988396540253	1.0	0.953398058252	0.671712674384	0.792827165204	0.0	0.923253925284	0.976741319088	0.959359560162	0.987868553781	0.925999693581	0.998542668269	0.995917884399	0.996381493926	0.968618758749	0.840067340067	0.986019716421	0.998522047956	0.997727877873	0.99774368231	0.96908871939	0.995272369924	0.992931484145	0.991917161522	0.950226244344	0.982907559409	0.992964713642	0.989941981343	0.971947050057	0.983782876955	0.995628446527	0.995829155805	0.862528493775	0.982778189743
4KM3	0.995585386729	0.99279646087	0.991588874375	0.996084779581	0.777070446219	0.735654806964	0.745493402713	0.863751779325	0.989044311846	1.0	0.989567604667	0.873676740198	0.915770418486	0.923253925284	0.0	0.903841826073	0.960256061692	0.935724356374	0.939159208844	0.99723169235	0.992818823132	0.992486903777	0.977968974058	0.868685891233	0.875789205161	0.997588160434	0.996307741066	0.992076148709	0.984450923226	0.994413080424	0.99189986622	0.940010463291	0.984060621897	0.934247690781	0.992260782249	0.983815116643	0.983164308334	0.98330034084	0.994724364318	0.994333983106	0.950527464533	0.8888456273
4RF1	0.878417271152	0.883478465521	0.892189151514	0.998412094547	0.94563260461	0.909950836085	0.915406546609	0.901672638649	0.955463539155	1.0	0.995873225487	0.95791587111	0.970043283469	0.976741319088	0.903841826073	0.0	0.791185291784	0.75314300681	0.973779923291	0.87216012938	0.891826686361	0.942807184867	0.987859642603	0.949232066273	0.852081640308	0.876196637612	0.926510268326	0.934320373923	0.973595848596	0.854592466357	0.905291597427	0.902469783437	0.99012235275	0.897610496746	0.930224155236	0.963029698279	0.900885437025	0.773943668939	0.927151469882	0.951415661402	0.972034552195	0.820038233506
4RF2	0.916483944842	0.913678849895	0.893820353779	0.996331318142	0.978537195249	0.965639390719	0.954554905397	0.985962192654	0.912864775997	1.0	0.986149065998	0.922001927578	0.916443007276	0.959359560162	0.960256061692	0.791185291784	0.0	0.886686776667	0.947182280507	0.933892936531	0.886869841483	0.898199664715	0.977117239125	0.950565359178	0.985634266886	0.920759365263	0.951761074932	0.912348158776	0.922517528127	0.865443521647	0.929245990106	0.928597951728	0.97588430294	0.883624822296	0.890474572432	0.918928115695	0.72919924508	0.820042858944	0.963495675372	0.960962503457	0.97043267699	0.96076807393
4RF3	0.825551862452	0.825512175042	0.922738569754	0.999705307413	0.960713469512	0.949511836916	0.939377028172	0.944545505273	0.888946047977	1.0	0.995189738108	0.980205541146	0.983514145926	0.987868553781	0.935724356374	0.75314300681	0.886686776667	0.0	0.984327127033	0.844469080388	0.903364223716	0.943810309437	0.990275863371	0.971868287698	0.932872667139	0.763081707453	0.755649100512	0.913565051573	0.975661262799	0.832016388645	0.867401101652	0.758155303936	0.995494003048	0.826685561247	0.959541307326	0.493393119101	0.920846434097	0.594003861682	0.967365172616	0.986685779111	0.974513394227	0.862776626178
1KM2	0.994252926157	0.995259703428	0.985437384123	0.995813373053	0.950298077567	0.94799220522	0.920614079386	0.98382396088	0.991132346689	1.0	0.995641344956	0.71251728452	0.851582649472	0.925999693581	0.939159208844	0.973779923291	0.947182280507	0.984327127033	0.0	0.996439857042	0.990355953007	0.996629295816	0.969546302051	0.919983109891	0.982438284972	0.99827077401	0.995437311227	0.997240302005	0.99	0.996765651216	0.989138045227	0.950700499657	0.991314588547	0.979993756179	0.995550896213	0.990278246612	0.97451022605	0.984907966089	0.995889707142	0.996408456453	0.947948176474	0.800351746537
LB1	0.486027234792	0.713273918432	0.846377837589	0.999378911992	0.998385125375	0.984184344218	0.99746904224	0.99810180104	0.85790073115	1.0	0.996719683404	0.998447354218	0.977349299185	0.998542668269	0.99723169235	0.87216012938	0.933892936531	0.844469080388	0.996439857042	0.0	0.684374434184	0.833659066232	0.99649730252	0.989727505539	0.998211141762	0.588597006539	0.513457150568	0.750548979025	0.958587231307	0.77500811042	0.750229887052	0.602102712221	0.988208182444	0.718942632856	0.83620543427	0.85049452293	0.937539691956	0.808775891899	0.773083713403	0.842034447357	0.989039662177	0.848355500775
