	PN1	PN3	PN2	pcrblank	negcontrol1	500M3	500M2	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	2KM3	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	TMI3	1KM1	2KM1
340RF1	0.950715421304	0.921568627451	0.909090909091	0.899082568807	0.85	0.882352941176	0.89552238806	0.924698795181	0.909090909091	1.0	0.0	0.863636363636	0.862385321101	0.824175824176	0.885416666667	0.91156462585	0.883720930233	0.926966292135	0.879032258065	0.958762886598	0.912596401028	0.91519434629	0.854304635762	0.825174825175	0.923357664234	0.964240102171	0.957415565345	0.941520467836	0.805369127517	0.906515580737	0.916449086162	0.948881789137	0.844827586207	0.935400516796	0.904918032787	0.924019607843	0.877551020408	0.919308357349	0.958762886598	0.897637795276	0.828571428571	0.925196850394
4KM1	0.961656441718	0.942105263158	0.918819188192	0.867768595041	0.901234567901	0.767857142857	0.804347826087	0.876876876877	0.887445887446	1.0	0.863636363636	0.0	0.825	0.772277227723	0.821428571429	0.857627118644	0.862831858407	0.91280653951	0.827067669173	0.972602739726	0.926829268293	0.927152317881	0.862275449102	0.766666666667	0.877697841727	0.968866749689	0.961428571429	0.947222222222	0.879310344828	0.907859078591	0.906329113924	0.946957878315	0.847328244275	0.905612244898	0.899686520376	0.934579439252	0.883435582822	0.886363636364	0.953045685279	0.916058394161	0.715596330275	0.835341365462
2KM2	0.950310559006	0.944736842105	0.889733840304	0.80701754386	0.843137254902	0.802325581395	0.776119402985	0.886567164179	0.924369747899	1.0	0.862385321101	0.825	0.0	0.71875	0.820512820513	0.88	0.831050228311	0.921409214092	0.739837398374	0.960907944515	0.916049382716	0.912457912458	0.833333333333	0.731034482759	0.889285714286	0.954487989886	0.950867052023	0.932203389831	0.865497076023	0.904632152589	0.903307888041	0.93522906793	0.837209302326	0.899742930591	0.90625	0.916666666667	0.847133757962	0.910863509749	0.955640050697	0.931407942238	0.780701754386	0.857707509881
4KM2	0.963836477987	0.947945205479	0.891129032258	0.844660194175	0.814814814815	0.840490797546	0.73275862069	0.904615384615	0.903669724771	1.0	0.824175824176	0.772277227723	0.71875	0.0	0.82967032967	0.88850174216	0.856459330144	0.923728813559	0.8	0.971974522293	0.926208651399	0.93006993007	0.821917808219	0.725190839695	0.886363636364	0.969465648855	0.957352941176	0.944444444444	0.872611464968	0.903133903134	0.919060052219	0.940322580645	0.84347826087	0.912698412698	0.89	0.92118226601	0.868965517241	0.915942028986	0.960051546392	0.935114503817	0.742268041237	0.861924686192
4KM3	0.940525587828	0.918502202643	0.895953757225	0.87	0.808035714286	0.791836734694	0.807511737089	0.827848101266	0.894568690096	1.0	0.885416666667	0.821428571429	0.820512820513	0.82967032967	0.0	0.851752021563	0.85049833887	0.89841986456	0.827751196172	0.944572748268	0.883966244726	0.918848167539	0.842323651452	0.748858447489	0.844380403458	0.950800915332	0.933333333333	0.926605504587	0.886274509804	0.87414187643	0.898520084567	0.914772727273	0.862559241706	0.886021505376	0.871794871795	0.890020366599	0.902834008097	0.899313501144	0.937209302326	0.890804597701	0.837563451777	0.85498489426
4RF1	0.939172749392	0.906593406593	0.900900900901	0.915032679739	0.886567164179	0.851428571429	0.895705521472	0.868787276342	0.928909952607	1.0	0.91156462585	0.857627118644	0.88	0.88850174216	0.851752021563	0.0	0.838046272494	0.9	0.889240506329	0.936392075078	0.884007029877	0.916492693111	0.9	0.819875776398	0.865771812081	0.934375	0.936562860438	0.931098696462	0.90756302521	0.869565217391	0.884341637011	0.911138923655	0.901587301587	0.893617021277	0.890243902439	0.911371237458	0.919770773639	0.88614800759	0.931937172775	0.918681318681	0.875838926174	0.872093023256
4RF2	0.918032786885	0.913865546218	0.866666666667	0.899563318777	0.868725868726	0.870175438596	0.875502008032	0.883561643836	0.912280701754	1.0	0.883720930233	0.862831858407	0.831050228311	0.856459330144	0.85049833887	0.838046272494	0.0	0.896995708155	0.84188034188	0.941441441441	0.89	0.896984924623	0.849056603774	0.795180722892	0.905128205128	0.922285714286	0.932826362484	0.930735930736	0.860294117647	0.878787878788	0.90380761523	0.911845730028	0.858369098712	0.896551724138	0.874396135266	0.88693957115	0.875	0.878318584071	0.946188340807	0.901333333333	0.840909090909	0.896457765668
4RF3	0.936218678815	0.908940397351	0.915187376726	0.965879265092	0.925925925926	0.881927710843	0.909560723514	0.917667238422	0.931392931393	1.0	0.926966292135	0.91280653951	0.921409214092	0.923728813559	0.89841986456	0.9	0.896995708155	0.0	0.927272727273	0.951550387597	0.917701863354	0.939781021898	0.920289855072	0.886649874055	0.905769230769	0.941463414634	0.933911159263	0.936454849498	0.92380952381	0.885135135135	0.920062695925	0.906103286385	0.929133858268	0.909379968203	0.925795053004	0.831147540984	0.891414141414	0.857394366197	0.940254652302	0.938697318008	0.912328767123	0.927450980392
1KM2	0.956193353474	0.941475826972	0.899641577061	0.864661654135	0.883720930233	0.854922279793	0.822368421053	0.900849858357	0.911646586345	1.0	0.879032258065	0.827067669173	0.739837398374	0.8	0.827751196172	0.889240506329	0.84188034188	0.927272727273	0.0	0.961633663366	0.9216152019	0.920127795527	0.834285714286	0.779141104294	0.891156462585	0.96049382716	0.954866008463	0.946380697051	0.89417989418	0.9140625	0.909535452323	0.938366718028	0.854166666667	0.916870415648	0.91369047619	0.901869158879	0.873563218391	0.911528150134	0.964197530864	0.920138888889	0.824427480916	0.865671641791
LB1	0.810148731409	0.883744855967	0.89592760181	0.976279650437	0.951278928136	0.957845433255	0.959509202454	0.95450049456	0.942632170979	1.0	0.958762886598	0.972602739726	0.960907944515	0.971974522293	0.944572748268	0.936392075078	0.941441441441	0.951550387597	0.961633663366	0.0	0.817894736842	0.845183486239	0.95947556615	0.94403892944	0.964620187305	0.8698578908	0.845208845209	0.84940411701	0.935757575758	0.904137235116	0.886113886114	0.86359832636	0.948297604035	0.918287937743	0.909282700422	0.928504233302	0.956574185766	0.941929133858	0.912761355443	0.905027932961	0.967377666248	0.956008583691
