	PN1	PN3	PN2	pcrblank	negcontrol1	500M3	500M2	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	2KM3	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	TMI3	1KM1	2KM1
340RF1	0.507692874554	0.606494780994	0.631545777187	0.996476804313	0.638088507122	0.667938401681	0.763945477558	0.71443009996	0.65234170964	1.0	0.0	0.748792270531	0.788249694002	0.591490611896	0.646042209051	0.512429337202	0.79885229863	0.484278287633	0.945612768373	0.518738440829	0.51421081065	0.616360943473	0.98013960941	0.782901030759	0.558435340237	0.500984342732	0.54437964622	0.612544975603	0.612958043064	0.624603163932	0.675918840968	0.554141510213	0.672882651289	0.685606480416	0.682635123763	0.482933552194	0.608774250942	0.448885952244	0.780779659105	0.643901749725	0.807484991698	0.695664383701
4KM1	0.774670605379	0.74355126558	0.804856739157	0.321308863039	0.693883198429	0.378465701916	0.765919573482	0.029005882363	0.725285462813	1.0	0.748792270531	0.0	0.715279625951	0.623519268326	0.700256246428	0.182932268938	0.708759647511	0.672348821713	0.625598683581	0.834852843357	0.799587874919	0.746608088889	0.979723074398	0.799141380052	0.6152031819	0.801201115808	0.81296893524	0.856640159177	0.767022964672	0.73149763589	0.575777657136	0.763303552938	0.686572588844	0.485570197249	0.878252948394	0.411663490716	0.539957163568	0.336624479977	0.917440065373	0.885465676102	0.71872946266	0.155146228964
2KM2	0.618776692883	0.676413712149	0.810246092202	0.981762585128	0.706759041836	0.42040720461	0.776963166348	0.827522231669	0.855392415435	1.0	0.788249694002	0.715279625951	0.0	0.427670643602	0.739826846218	0.707486123262	0.641038756215	0.635020329543	0.555712497722	0.619006374155	0.711699799978	0.391708862165	0.971727063441	0.577299154303	0.865595704413	0.71065127185	0.566340043783	0.597317393691	0.679616180299	0.704107918503	0.734914915681	0.588413949894	0.647650219506	0.662690662308	0.786901518224	0.642786066836	0.586241062346	0.674625063237	0.860310572936	0.737101627745	0.857927239909	0.76732654795
4KM2	0.500889269312	0.571487097725	0.610681332103	0.984630961678	0.266218311852	0.244374247315	0.0739226963721	0.298546533198	0.775297715948	1.0	0.591490611896	0.623519268326	0.427670643602	0.0	0.46117199268	0.408851025269	0.854384403591	0.576626990057	0.935396832904	0.481691519655	0.454208987725	0.56823255182	0.977540392358	0.430434846405	0.455069856302	0.352916057258	0.383466314507	0.488009506854	0.604810312374	0.604524117585	0.655905645964	0.590460912685	0.628606425205	0.677623059969	0.749938308698	0.617905221672	0.673508668907	0.537815004825	0.69880524182	0.596733226818	0.318916130089	0.702640636028
4KM3	0.540502690618	0.567215500793	0.727637958571	0.980991330264	0.156398766562	0.505733361108	0.460579181956	0.811272327634	0.691573205419	1.0	0.646042209051	0.700256246428	0.739826846218	0.46117199268	0.0	0.687641954547	0.775717021621	0.421526340907	0.750871902091	0.686876965509	0.306622584554	0.737771666685	0.146174116781	0.759557931245	0.879602724711	0.517200335331	0.239867046059	0.354460775103	0.628940379455	0.580106769382	0.599103563853	0.27418202192	0.588591560516	0.510641792362	0.685115278109	0.520794931255	0.757253873717	0.595452864156	0.480440573638	0.529274211913	0.813002997515	0.618588873481
4RF1	0.467146218148	0.555495977691	0.605174224792	0.788241794569	0.641339403108	0.294905652235	0.677810475291	0.232936516388	0.797988714845	1.0	0.512429337202	0.182932268938	0.707486123262	0.408851025269	0.687641954547	0.0	0.597197476435	0.253783352562	0.89949574083	0.614657872073	0.596657618934	0.650353858523	0.971464523102	0.751635893049	0.33254870263	0.414499849268	0.589821340202	0.654688778133	0.471703619031	0.424547099441	0.417956138052	0.354625527475	0.694068541502	0.381765701821	0.727844252595	0.561874894722	0.704720084558	0.319679439584	0.696449866602	0.647707195703	0.300501123207	0.447265206207
4RF2	0.385296834696	0.742144559848	0.591210235208	0.948920066452	0.806577368754	0.685609971755	0.791586264818	0.851700517797	0.908568256906	1.0	0.79885229863	0.708759647511	0.641038756215	0.854384403591	0.775717021621	0.597197476435	0.0	0.620965105894	0.78330994557	0.458528778371	0.632546292313	0.773536903517	0.660073586024	0.53224783128	0.910544080464	0.27463006464	0.652630501819	0.817930409097	0.660001675503	0.63657081108	0.731564739803	0.65679775639	0.589335111385	0.671742883001	0.704832675459	0.614834563397	0.715080102396	0.360945267159	0.718222494049	0.81537782838	0.829671788491	0.748800051765
4RF3	0.481878905926	0.423212553921	0.642591766837	0.986680304847	0.662834759539	0.297028996096	0.591479778042	0.593527540673	0.760741115792	1.0	0.484278287633	0.672348821713	0.635020329543	0.576626990057	0.421526340907	0.253783352562	0.620965105894	0.0	0.934895547988	0.573318056229	0.47297086867	0.593605707216	0.968930497092	0.797128139974	0.230067378709	0.451456994096	0.405169953772	0.552840900009	0.659034381475	0.44516593022	0.601627580235	0.317130975932	0.724666690384	0.631629121143	0.727447928606	0.368165346269	0.49551892456	0.348029604179	0.440034142066	0.608897983647	0.629047109737	0.767509622804
1KM2	0.928727946461	0.933550620732	0.72284727201	0.982085650431	0.949824538918	0.450859501532	0.939924053882	0.837597456924	0.962996391921	1.0	0.945612768373	0.625598683581	0.555712497722	0.935396832904	0.750871902091	0.89949574083	0.78330994557	0.934895547988	0.0	0.953700348928	0.931833661934	0.555245781193	0.968106122693	0.940440372746	0.949205519986	0.927786846209	0.927519245476	0.964573118024	0.943492042513	0.9319602772	0.526987559399	0.755064438181	0.713868254048	0.67723501098	0.943193716933	0.55659959906	0.75323038139	0.783380792451	0.942898571696	0.738186054958	0.913311735507	0.603821980401
LB1	0.220075548101	0.351831957846	0.37453897348	0.988276700329	0.824840575206	0.686714334204	0.844678352542	0.950453194958	0.548007696923	1.0	0.518738440829	0.834852843357	0.619006374155	0.481691519655	0.686876965509	0.614657872073	0.458528778371	0.573318056229	0.953700348928	0.0	0.211268736467	0.207134087064	0.971826923583	0.819246916674	0.876085577581	0.207291159576	0.228938591777	0.259792643143	0.39074084818	0.42879338088	0.39791839564	0.366165239583	0.378714558857	0.542509681383	0.400266763497	0.289099138543	0.541257732064	0.587359641674	0.532842325772	0.458174263541	0.858913546239	0.630112488736
