# Constructed from biom file																																											
#OTU ID	pcrblank	negcontrol1	TMI3	PN1	PN3	PN2	500M2	500M3	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	2KM3	1KM1	2KM1	taxonomy
823648890	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Anguilliformes; so__NA; f__Muraenidae; g__Gymnomuraena; s__Gymnomuraena-zebra
90902078	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__NA; c__Mammalia; sc__NA; ic__NA; o__NA; so__NA; f__Suidae; g__Sus; s__Sus-scrofa
893639751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Pomacanthidae; g__Centropyge
99642182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1083	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Labriformes; so__NA; f__Labridae; g__Thalassoma
109639194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Anguilliformes; so__NA; f__Ophichthidae; g__Ophichthus
1041013938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__NA; f__Balistidae; g__Sufflamen; s__Sufflamen-albicaudatum
1041013939	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	713	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__NA; f__Balistidae; g__Sufflamen; s__Sufflamen-verres
156778438	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Chaetodontiformes; so__NA; f__Chaetodontidae; g__Chaetodon
156778456	0	0	0	0	968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	202	0	0	0	1972	136	40	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Chaetodontiformes; so__NA; f__Chaetodontidae; g__Chaetodon
1041013937	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1452	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__NA; f__Balistidae; g__Sufflamen
1041013930	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__NA; f__Balistidae; g__Rhinecanthus; s__Rhinecanthus-rectangulus
1041013931	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	44	353	846	0	0	0	0	0	0	1	750	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__NA; f__Balistidae; g__Rhinecanthus; s__Rhinecanthus-rectangulus
